InputVarType, OutputVarType, InputAlias, OutputAlias,TargetName, InputFileVarName, OutputFileVarName, InputBaseValue, OutputBaseValue, InputNewValue, OutputNewValue, PreValueRSM, PreValueSMT
I_C, O_t, CDW+SY+EX+HRR, ASET_5, Time, XB+SOOT_YIELD+VOLUME_FLOW+HRRPUA, V1, 0.750000, 197.35, 0.375000+0.03+0.35+2200, 299.73, 277.72,240.98
I_C, O_t, CDW+SY+EX+HRR, ASET_10, Time, XB+SOOT_YIELD+VOLUME_FLOW+HRRPUA, V1, 0.750000, 183.50, 0.375000+0.03+0.35+2200, 258.44, 255.12,216.18
I1C, O_t, CDW+SY+EX+HRR, ASET_5, Time, XB+SOOT_YIELD+VOLUME_FLOW+HRRPUA, V1, 0.750000, 197.35, 1.000000+0.08+0.10+3800.0, 161.14, 147.85,148.41
I1C, O_t, CDW+SY+EX+HRR, ASET_10, Time, XB+SOOT_YIELD+VOLUME_FLOW+HRRPUA, V1, 0.750000, 183.50, 1.000000+0.08+0.10+3800.0, 143.27, 138.82,147.06
I2C, O_t, CDW+SY+EX+HRR, ASET_5, Time, XB+SOOT_YIELD+VOLUME_FLOW+HRRPUA, V1, 0.750000, 197.35, 0.300000+0.08+0.4+3800.0, 217.30, 221.70,215.43
I2C, O_t, CDW+SY+EX+HRR, ASET_10, Time, XB+SOOT_YIELD+VOLUME_FLOW+HRRPUA, V1, 0.750000, 183.50, 0.300000+0.08+0.4+3800.0, 214.07, 214.88,195.28
I3C, O_t, CDW+SY+EX+HRR, ASET_5, Time, XB+SOOT_YIELD+VOLUME_FLOW+HRRPUA, V1, 0.750000, 197.35, 0.200000+0.07+0.3+3500.0, 224.51, 229.60,208.87
I3C, O_t, CDW+SY+EX+HRR, ASET_10, Time, XB+SOOT_YIELD+VOLUME_FLOW+HRRPUA, V1, 0.750000, 183.50, 0.200000+0.07+0.3+3500.0, 212.89, 216.13,190.14
I4C, O_t, CDW+SY+EX+HRR, ASET_5, Time, XB+SOOT_YIELD+VOLUME_FLOW+HRRPUA, V1, 0.750000, 197.35, 1.100000+0.04+0.2+2500, 190.40, 203.98,190.56
I4C, O_t, CDW+SY+EX+HRR, ASET_10, Time, XB+SOOT_YIELD+VOLUME_FLOW+HRRPUA, V1, 0.750000, 183.50, 1.100000+0.04+0.2+2500, 185.27, 190.77,180.42
I5C, O_t, CDW+SY+EX+HRR, ASET_5, Time, XB+SOOT_YIELD+VOLUME_FLOW+HRRPUA, V1, 0.750000, 197.35, 1.100000+0.028+0.2+3500.0, 182.71, 198.32,173.34
I5C, O_t, CDW+SY+EX+HRR, ASET_10, Time, XB+SOOT_YIELD+VOLUME_FLOW+HRRPUA, V1, 0.750000, 183.50, 1.100000+0.028+0.2+3500.0, 173.82, 178.71,161.61
I6C, O_t, CDW+SY+EX+HRR, ASET_5, Time, XB+SOOT_YIELD+VOLUME_FLOW+HRRPUA, V1, 0.750000, 197.35, 0.200000+0.07+0.3+2500, 256.83, 248.99,227.49
I6C, O_t, CDW+SY+EX+HRR, ASET_10, Time, XB+SOOT_YIELD+VOLUME_FLOW+HRRPUA, V1, 0.750000, 183.50, 0.200000+0.07+0.3+2500, 244.59, 237.04,208.63
