InputVarType, OutputVarType, InputAlias, OutputAlias,TargetName, InputFileVarName, OutputFileVarName, InputBaseValue, OutputBaseValue, InputNewValue, OutputNewValue
IRG, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.608000, 198.62
IRG, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.608000, 185.67
IRG, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 1.075000, 184.57
IRG, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 1.075000, 176.87
IRG, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.725000, 197.35
IRG, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.725000, 183.50
IRG, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.842000, 191.82
IRG, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.842000, 179.43
IRG, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.842000, 191.82
IRG, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.842000, 179.43
IRG, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.492000, 203.13
IRG, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.492000, 189.75
IRG, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.725000, 197.35
IRG, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.725000, 183.50
IRG, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.958000, 188.26
IRG, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.958000, 179.96
IRG, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.958000, 188.26
IRG, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.958000, 179.96
IRG, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.375000, 216.46
IRG, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.375000, 193.86
IRG, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 1.075000, 184.57
IRG, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 1.075000, 176.87
IRG, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.492000, 203.13
IRG, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.492000, 189.75
IRG, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.608000, 198.62
IRG, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.608000, 185.67
IRG, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.375000, 216.46
IRG, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.375000, 193.86
IRP, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.366667, 208.23
IRP, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.366667, 205.17
IRP, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.500000, 260.47
IRP, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.500000, 242.08
IRP, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.031667, 211.18
IRP, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.031667, 188.07
IRP, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.020000, 243.65
IRP, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.020000, 197.25
IRP, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.055000, 195.19
IRP, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.055000, 181.62
IRP, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 4000.000000, 176.43
IRP, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 4000.000000, 171.43
IRP, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 4000.000000, 177.85
IRP, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 4000.000000, 171.38
IRP, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.300000, 199.26
IRP, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.300000, 192.47
IRP, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.055000, 193.40
IRP, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.055000, 181.07
IRP, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 3500.000000, 188.61
IRP, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 3500.000000, 175.05
