s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m3/s,m3/s,m3/s,m3/s,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"Device04","Device05","Device06","Device07","Device09","Device11","Device14","Device","Device02","Device03","Device08","Device10","Device12","Device13","HRR_in","Device15","Device16","Device17","Device18","Device19","Device20","Device21","Device22","Device23","Device24","Device25","Device26","Device27","Device28","surface","Btw-Gyp-Stud","Btw-Gyp-Stud01","surface_ceiling","surface_ceiling01","surface_ceiling02","surface_ceiling03","surface_ceiling04","surface_ceiling05","surface_ceiling06","surface_ceiling07","surface_ceiling08","surface_ceiling09","surface_ceiling_10","surface_ceiling_11","surface_ceiling_12","surface_ceiling_14","surface_ceiling_15","surface_ceiling_13","LAYER_1S","LAYER_1N","LAYER_2S","LAYER_2N","LAYER_3S","LAYER_3N","V1","V2","V3","V4","V5","V6","V7","V8","V9","V01","V02","V03","V04","V05","V06","V07","V08","V09","FLOW","FLOW01","FLOW02","FLOW03","Device29","Device30","Device31","Device32","Rad01","Rad02","Rad03","Rad04","Rad05","Rad06","Rad07","Rad08","Rad09","Rad10","Rad11","Rad12","Rad13","Rad14","Rad15","Rad16","Rad17","Rad18","Rad19","Rad20","Rad21","Rad22"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 7.1445265E-004, 1.2570016E-003, 9.9569959E-004, 1.5205598E-003, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.4614720E-001, 2.0000049E+001, 2.0000105E+001, 2.0000079E+001, 2.0000094E+001, 2.0000119E+001, 2.0000060E+001, 2.0000105E+001, 2.0000000E+001, 2.0000068E+001, 2.0000064E+001, 2.0000098E+001, 2.0000109E+001, 2.0000081E+001, 2.0000059E+001, 4.2265192E-002, 2.0000129E+001, 2.0000088E+001, 2.0000090E+001, 2.0000080E+001, 2.0000099E+001, 2.0000125E+001, 2.0000116E+001, 2.0000102E+001, 2.0000071E+001, 2.0000078E+001, 2.0000094E+001, 2.0000084E+001, 2.0000087E+001, 2.0000109E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.7286369E-003, 1.2008459E-003, 9.6425065E-004, 1.4731526E-003, 1.9946122E+001, 1.9946895E+001, 1.9945410E+001, 1.9945400E+001, 2.9969380E-009,-2.3474065E-009, 3.5953934E-010, 7.8464124E-010, 9.4701521E-010,-7.4483963E-009,-8.7035156E-009,-1.4381517E-008,-1.0633834E-008,-1.0400723E-008,-5.4609003E-009,-5.8728914E-009,-1.2028753E-008,-1.4786851E-008,-6.5975531E-009,-1.8628987E-010, 5.7960377E-009,-5.5452722E-009,-7.1404957E-009,-5.8527403E-009, 2.8210495E-009, 8.0173157E-011
 1.0376797E+000, 2.0000044E+001, 2.0000136E+001, 2.0000076E+001, 2.0000105E+001, 2.0000141E+001, 2.0000108E+001, 2.0000111E+001, 2.0000000E+001, 2.0000034E+001, 2.0000161E+001, 2.0000111E+001, 2.0000140E+001, 2.0000073E+001, 2.0000116E+001, 2.0956277E-001, 2.0000184E+001, 2.0000069E+001, 2.0000064E+001, 2.0000064E+001, 2.0000093E+001, 2.0000161E+001, 2.0000138E+001, 2.0000124E+001, 2.0000066E+001, 2.0000073E+001, 2.0000113E+001, 2.0000090E+001, 2.0000054E+001, 2.0000108E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.0075379E-002, 1.2090017E-003, 9.1273714E-004, 1.3982087E-003, 1.9946426E+001, 1.9946877E+001, 1.9943176E+001, 1.9943122E+001,-4.3606299E-008, 4.4812400E-008, 3.1783225E-008, 1.5107528E-008, 1.1222362E-008,-1.2011836E-008, 4.5026573E-010, 4.6644337E-009,-2.1198013E-008,-2.3559664E-008,-1.1971745E-008,-1.9934456E-008,-1.7007980E-008,-2.5887182E-008,-7.9029252E-009, 6.5109591E-009, 2.3338231E-008,-2.9748370E-009,-4.6304768E-009,-3.4307735E-009, 1.5857440E-008, 4.3660969E-009
 1.5292122E+000, 2.0000068E+001, 2.0000164E+001, 2.0000075E+001, 2.0000119E+001, 2.0000193E+001, 2.0000174E+001, 2.0000171E+001, 2.0000000E+001, 2.0000028E+001, 2.0000343E+001, 2.0000127E+001, 2.0000168E+001, 2.0000065E+001, 2.0000176E+001, 6.0791641E-001, 2.0000235E+001, 2.0000098E+001, 2.0000105E+001, 2.0000083E+001, 2.0000128E+001, 2.0000208E+001, 2.0000218E+001, 2.0000156E+001, 2.0000072E+001, 2.0000083E+001, 2.0000128E+001, 2.0000099E+001, 2.0000102E+001, 2.0000157E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.7199487E-002, 9.9103364E-004, 8.6809228E-004, 1.3325131E-003, 1.9950825E+001, 1.9949509E+001, 1.9943749E+001, 1.9943611E+001,-1.3886938E-007, 1.9339508E-007, 1.0647193E-007, 5.4088081E-008, 3.6338671E-008,-1.2788659E-008, 6.7969900E-009, 1.3416425E-008,-3.7254644E-008,-4.2347326E-008,-2.0672617E-008,-5.7659425E-008,-2.1574100E-008,-2.9993576E-008, 2.4149822E-009, 2.6362653E-008, 5.4996290E-008, 4.6494309E-010,-4.0348825E-009,-1.5313366E-009, 3.3539028E-008, 1.1988243E-008
 2.0207446E+000, 2.0000065E+001, 2.0000180E+001, 2.0000088E+001, 2.0000134E+001, 2.0000233E+001, 2.0000249E+001, 2.0000225E+001, 2.0000000E+001, 1.9999850E+001, 2.0000599E+001, 2.0000135E+001, 2.0000201E+001, 2.0000081E+001, 2.0000235E+001, 4.8110927E-001, 2.0000282E+001, 2.0000116E+001, 2.0000125E+001, 2.0000089E+001, 2.0000129E+001, 2.0000255E+001, 2.0000245E+001, 2.0000191E+001, 2.0000061E+001, 2.0000058E+001, 2.0000131E+001, 2.0000109E+001, 2.0000094E+001, 2.0000188E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000001E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.1415567E-002, 8.9969727E-004, 8.4607926E-004, 1.2696836E-003, 1.9955810E+001, 1.9951939E+001, 1.9944503E+001, 1.9944223E+001,-2.9312763E-007, 5.0553037E-007, 2.4659733E-007, 1.3270878E-007, 8.7402451E-008, 2.1331558E-009, 2.3302819E-008, 2.9996189E-008,-4.7600788E-008,-5.5761739E-008,-2.5384449E-008,-1.1681677E-007,-1.2109121E-008,-9.7820392E-009, 3.7884970E-008, 6.4665082E-008, 9.9444195E-008, 1.4057290E-008, 3.5915480E-009, 3.5597358E-009, 5.4520026E-008, 2.1630287E-008
 2.5122771E+000, 2.0000068E+001, 2.0000197E+001, 2.0000092E+001, 2.0000131E+001, 2.0000273E+001, 2.0000339E+001, 2.0000289E+001, 2.0000000E+001, 1.9998684E+001, 2.0000763E+001, 2.0000138E+001, 2.0000210E+001, 2.0000077E+001, 2.0000290E+001, 8.2024510E-001, 2.0000321E+001, 2.0000137E+001, 2.0000161E+001, 2.0000085E+001, 2.0000122E+001, 2.0000279E+001, 2.0000279E+001, 2.0000217E+001, 2.0000063E+001, 2.0000052E+001, 2.0000133E+001, 2.0000113E+001, 2.0000115E+001, 2.0000223E+001, 1.9999999E+001, 2.0000000E+001, 2.0000000E+001, 2.0000002E+001, 2.0000000E+001, 2.0000001E+001, 2.0000000E+001, 2.0000001E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.4854895E-002, 8.4981540E-004, 8.2812251E-004, 1.2114313E-003, 1.9960712E+001, 1.9953844E+001, 1.9945367E+001, 1.9944831E+001,-4.1945290E-007, 1.0025808E-006, 4.4886286E-007, 2.4319956E-007, 1.5787876E-007, 3.2148965E-008, 4.9783150E-008, 5.3677672E-008,-5.3606841E-008,-6.5163844E-008,-2.7525551E-008,-1.7561476E-007, 5.1292120E-008, 4.6602693E-008, 1.0200715E-007, 1.2334282E-007, 1.5819732E-007, 3.8279323E-008, 2.0186298E-008, 1.4434877E-008, 7.8237177E-008, 3.3644066E-008
 3.0038096E+000, 2.0000063E+001, 2.0000229E+001, 2.0000087E+001, 2.0000129E+001, 2.0000311E+001, 2.0000475E+001, 2.0000354E+001, 2.0000000E+001, 1.9996856E+001, 2.0000695E+001, 2.0000160E+001, 2.0000219E+001, 2.0000064E+001, 2.0000322E+001, 8.2332535E-001, 2.0000352E+001, 2.0000139E+001, 2.0000173E+001, 2.0000081E+001, 2.0000120E+001, 2.0000295E+001, 2.0000317E+001, 2.0000229E+001, 2.0000073E+001, 2.0000054E+001, 2.0000149E+001, 2.0000137E+001, 2.0000126E+001, 2.0000252E+001, 1.9999999E+001, 2.0000000E+001, 2.0000000E+001, 2.0000007E+001, 2.0000000E+001, 2.0000003E+001, 2.0000000E+001, 2.0000002E+001, 2.0000000E+001, 2.0000001E+001, 2.0000000E+001, 2.0000001E+001, 2.0000001E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.6676066E-002, 9.2722977E-004, 7.5194411E-004, 1.1588760E-003, 1.9965152E+001, 1.9955402E+001, 1.9946402E+001, 1.9945433E+001,-5.2510075E-007, 1.6755728E-006, 7.2786467E-007, 4.0145047E-007, 2.5805654E-007, 8.0961209E-008, 8.7044827E-008, 8.6437037E-008,-5.2743361E-008,-6.9173974E-008,-2.5424067E-008,-2.3068807E-007, 1.5622166E-007, 1.3541157E-007, 1.9408535E-007, 2.0301555E-007, 2.3176931E-007, 7.2963275E-008, 4.4924649E-008, 3.0744236E-008, 1.0550499E-007, 4.9686314E-008
 3.5499568E+000, 2.0000056E+001, 2.0000247E+001, 2.0000071E+001, 2.0000126E+001, 2.0000328E+001, 2.0000733E+001, 2.0000434E+001, 2.0000000E+001, 1.9995008E+001, 2.0000541E+001, 2.0000165E+001, 2.0000226E+001, 2.0000040E+001, 2.0000279E+001, 1.6528554E+000, 2.0000358E+001, 2.0000119E+001, 2.0000165E+001, 2.0000081E+001, 2.0000131E+001, 2.0000308E+001, 2.0000373E+001, 2.0000231E+001, 2.0000071E+001, 2.0000039E+001, 2.0000147E+001, 2.0000144E+001, 2.0000130E+001, 2.0000272E+001, 1.9999997E+001, 2.0000000E+001, 2.0000000E+001, 2.0000016E+001, 2.0000000E+001, 2.0000007E+001, 2.0000000E+001, 2.0000004E+001, 2.0000000E+001, 2.0000002E+001, 2.0000000E+001, 2.0000001E+001, 2.0000001E+001, 2.0000001E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.7800418E-002, 8.7093047E-004, 6.8303048E-004, 1.1147962E-003, 1.9969106E+001, 1.9957087E+001, 1.9947448E+001, 1.9946052E+001,-5.6266755E-007, 2.5312489E-006, 1.0859095E-006, 6.0438083E-007, 3.8765663E-007, 1.4957489E-007, 1.3828911E-007, 1.3033838E-007,-4.5276396E-008,-6.7330200E-008,-1.9217620E-008,-2.8069146E-007, 3.3064020E-007, 2.7210433E-007, 3.2669224E-007, 3.1143219E-007, 3.2587417E-007, 1.2235114E-007, 8.1701631E-008, 5.4332246E-008, 1.3843987E-007, 6.8695224E-008
 4.0414893E+000, 2.0000046E+001, 2.0000248E+001, 2.0000052E+001, 2.0000114E+001, 2.0000316E+001, 2.0001025E+001, 2.0000558E+001, 2.0000000E+001, 1.9992919E+001, 2.0000348E+001, 2.0000152E+001, 2.0000222E+001, 2.0000011E+001, 2.0000154E+001, 1.7979176E+000, 2.0000338E+001, 2.0000092E+001, 2.0000156E+001, 2.0000077E+001, 2.0000144E+001, 2.0000314E+001, 2.0000440E+001, 2.0000228E+001, 2.0000056E+001, 2.0000006E+001, 2.0000126E+001, 2.0000135E+001, 2.0000117E+001, 2.0000272E+001, 1.9999994E+001, 2.0000000E+001, 2.0000000E+001, 2.0000030E+001, 2.0000000E+001, 2.0000012E+001, 2.0000000E+001, 2.0000008E+001, 2.0000000E+001, 2.0000004E+001, 2.0000000E+001, 2.0000002E+001, 2.0000002E+001, 2.0000001E+001, 2.0000000E+001, 2.0000000E+001, 2.0000001E+001, 2.0000001E+001, 2.0000000E+001, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 2.7500000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.8375972E-002, 7.6481361E-004, 6.8614812E-004, 1.0559954E-003, 1.9972262E+001, 1.9958762E+001, 1.9948321E+001, 1.9946657E+001,-4.8220934E-007, 3.5088514E-006, 1.4874855E-006, 8.3528836E-007, 5.3582906E-007, 2.3222677E-007, 1.9759124E-007, 1.8065539E-007,-3.3005105E-008,-6.1512326E-008,-1.0041621E-008,-2.8247290E-007, 5.8056664E-007, 4.5022253E-007, 4.8594296E-007, 4.3785138E-007, 4.3218448E-007, 1.8008274E-007, 1.2584496E-007, 8.3404764E-008, 1.7415381E-007, 9.1379207E-008
